CÓDIGO DE LA INSTITUCIÓN;IES PADRE;INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);PRINCIPAL O SECCIONAL;ID SECTOR IES;SECTOR IES;IES ACREDITADA;ID CARACTER;CARACTER IES;CÓDIGO DEL DEPARTAMENTO (IES);DEPARTAMENTO DE DOMICILIO DE LA IES;CÓDIGO DEL MUNICIPIO (IES);MUNICIPIO DE DOMICILIO DE LA IES;CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;PROGRAMA ACREDITADO;ID NIVEL ACADÉMICO;NIVEL ACADÉMICO;ID NIVEL DE FORMACIÓN;NIVEL DE FORMACIÓN;ID METODOLOGÍA;METODOLOGÍA;ID ÁREA DE CONOCIMIENTO;ÁREA DE CONOCIMIENTO;ID NÚCLEO;NÚCLEO BÁSICO DEL CONOCIMIENTO (NBC);ID CINE CAMPO AMPLIO;DESC CINE CAMPO AMPLIO;ID CINE CAMPO ESPECIFICO;DESC CINE CAMPO ESPECIFICO;ID CINE CODIGO DETALLADO;DESC CINE CODIGO DETALLADO;CÓDIGO DEL DEPARTAMENTO (PROGRAMA);DEPARTAMENTO DE OFERTA DEL PROGRAMA;CÓDIGO DEL MUNICIPIO (PROGRAMA);MUNICIPIO DE OFERTA DEL PROGRAMA;ID SEXO;SEXO;AÑO;SEMESTRE;GRADUADOS
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;6;ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES;612;CONTADURIA PUBLICA;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;1;55
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53802;TECNOLOGIA EN PRODUCCION;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;830;INGENIERIA INDUSTRIAL Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2015;1;20
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;821;INGENIERIA ADMINISTRATIVA Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;1;33
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;830;INGENIERIA INDUSTRIAL Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2015;1;11
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;827;INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2014;1;39
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;6;ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2015;2;93
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;6537;TECNOLOGIA EN TELECOMUNICACIONES;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;829;INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2015;2;19
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52272;INGENIERIA EN DISEÑO INDUSTRIAL;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;830;INGENIERIA INDUSTRIAL Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2015;2;20
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52131;INGENIERIA DE PRODUCCION;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;830;INGENIERIA INDUSTRIAL Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2015;1;70
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;6;ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES;612;CONTADURIA PUBLICA;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2015;2;60
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;2114;TECNOLOGIA EN ELECTROMECANICA;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;833;OTRAS INGENIERIAS;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;1;73
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;6;ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2015;2;62
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;6537;TECNOLOGIA EN TELECOMUNICACIONES;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;829;INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2014;2;28
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;6537;TECNOLOGIA EN TELECOMUNICACIONES;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;829;INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;1;56
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;6;ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES;612;CONTADURIA PUBLICA;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2015;2;109
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52299;INGENIERIA DE TELECOMUNICACIONES;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;829;INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;1;74
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53802;TECNOLOGIA EN PRODUCCION;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;830;INGENIERIA INDUSTRIAL Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2015;2;39
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52129;INGENIERIA ELECTRONICA;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;829;INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2014;1;7
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52299;INGENIERIA DE TELECOMUNICACIONES;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;829;INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2014;1;21
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;821;INGENIERIA ADMINISTRATIVA Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2014;2;101
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;6;ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES;612;CONTADURIA PUBLICA;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2014;1;111
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52205;INGENIERIA DE SISTEMAS;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;827;INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2014;1;33
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52299;INGENIERIA DE TELECOMUNICACIONES;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;829;INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;2;41
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52131;INGENIERIA DE PRODUCCION;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;830;INGENIERIA INDUSTRIAL Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;2;47
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;818;ARQUITECTURA;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2014;1;16
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;6;ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;2;72
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52130;INGENIERIA ELECTROMECANICA;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;831;INGENIERIA MECANICA Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2015;2;32
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;6;ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES;612;CONTADURIA PUBLICA;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;2;41
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52299;INGENIERIA DE TELECOMUNICACIONES;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;829;INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2015;1;18
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53340;INGENIERIA BIOMEDICA;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;819;INGENIERIA BIOMEDICA Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2015;1;9
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53802;TECNOLOGIA EN PRODUCCION;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;830;INGENIERIA INDUSTRIAL Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;1;74
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52299;INGENIERIA DE TELECOMUNICACIONES;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;829;INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2015;1;14
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;827;INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;2;61
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52131;INGENIERIA DE PRODUCCION;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;830;INGENIERIA INDUSTRIAL Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;1;45
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;6;ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES;612;CONTADURIA PUBLICA;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2014;2;129
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53340;INGENIERIA BIOMEDICA;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;819;INGENIERIA BIOMEDICA Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2015;2;24
